Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Roll,Pitch,Yaw,Cloudiness,CurrentSpeed,CurrentTravelTime,FreeFlowSpeed,FreeFlowTravelTime,Humidity,Latitude,Longitude,RoadClosure,RoadTypeDescription,Temperature,TrafficIntensity,Visibility,WeatherDescription,WeatherIntensity,WindSpeed,target
16:40:01,-2.01999998,0.23,9.68000031,-2.31551147,0.16217327,9.67838478,3.07287025,-0.20507619,-0.02617994,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:01,-1.90999997,0.44,9.55000019,-2.23490834,0.16167405,9.66893291,3.07505202,-0.20071286,-0.03708825,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:01,-1.96000004,0.27000001,9.68999958,-2.32279229,0.15641405,9.69585228,3.07177949,-0.20507619,-0.02399828,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:02,-1.85000002,0.5,9.59000015,-2.12977839,0.16708562,9.64705944,3.07614279,-0.19525871,-0.0425424,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:02,-2.06999993,0.28,9.39000034,-2.12298822,0.17279145,9.64009857,3.07832456,-0.19634955,-0.04363323,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:02,-1.95000005,0.43000001,9.60999966,-2.11531973,0.17122853,9.64270306,3.07723355,-0.19416788,-0.04690572,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:02,-1.74000001,0.61000001,9.59000015,-2.107162,0.15402806,9.66897488,3.07396126,-0.19089539,-0.05126905,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:02,-2.00999999,0.47,9.78999996,-2.10715508,0.13097252,9.66308689,3.07614279,-0.18871373,-0.05235988,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:02,-1.92999995,0.46000001,9.47000027,-2.10226274,0.12967859,9.65924644,3.07505202,-0.19089539,-0.05345071,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:02,-1.82000005,0.52999997,9.75,-2.11244369,0.16032249,9.6571207,3.07505202,-0.19198622,-0.04908739,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-1.79999995,0.47999999,9.65999985,-2.22451353,0.24383789,9.59533119,3.07832456,-0.1985312,-0.0283616,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-1.94000006,0.19,9.65999985,-2.21235251,0.24667943,9.58139133,3.08268785,-0.19744037,-0.02727077,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-2.04999995,0.23999999,9.35999966,-2.22041082,0.25846115,9.57041168,3.08268785,-0.1985312,-0.02727077,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-2.03999996,0.15000001,9.68999958,-2.21442699,0.23526827,9.60713673,3.07941532,-0.19744037,-0.02945243,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-1.98000002,0.40000001,9.68999958,-2.13658285,0.1723564,9.63995552,3.07614279,-0.19416788,-0.04145157,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-1.95000005,0.31,9.57999992,-2.17192507,0.19539127,9.62370777,3.07614279,-0.19416788,-0.03708825,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-1.88999999,0.31,9.65999985,-2.14832926,0.17742732,9.63459969,3.07505202,-0.19307704,-0.04036074,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-1.92999995,0.38,9.56999969,-2.13735127,0.17222176,9.64345646,3.07614279,-0.19416788,-0.04145157,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:03,-1.98000002,0.23999999,9.65999985,-2.20361161,0.22200844,9.60544586,3.07832456,-0.19634955,-0.03272492,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:04,-1.90999997,0.30000001,9.61999989,-2.18202996,0.28602839,9.59327984,3.08050609,-0.20507619,-0.02727077,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
16:40:04,-2.0,0.25999999,9.53999996,-2.17220807,0.29810494,9.58907318,3.08159685,-0.20616701,-0.02945243,0,19,312,19,312,29,19.0456311,72.8934683,0,Local connecting road,33.02,0,4000,smoke,Low,6.17,0.0
